distinct_bib,subject,out_bib,title,itemtype,deweyClass
593106,"Homosexuality Fiction",593106,"Daddys roommate",jcbk,
593106,"Homosexuality Juvenile fiction",593106,"Daddys roommate",jcbk,
595299,"Gay men United States Biography",595299,"Sudden strangers the story of a gay son and his father",acbk,306.8742
595317,"Homosexuality and literature Great Britain",595317,"Double talk the erotics of male literary collaboration",acbk,820.99286
595414,"Gay couples United States",595414,"Families we choose lesbians gays kinship",acbk,306.87
595414,"Gay parents United States",595414,"Families we choose lesbians gays kinship",acbk,306.87
595414,"Gays United States Family relationships",595414,"Families we choose lesbians gays kinship",acbk,306.87
595438,"Homosexuality in motion pictures",595438,"Now you see it studies on lesbian and gay film",acbk,791.43653
597673,"Lesbians United States Sexual behavior",597673,"Susie Sexperts lesbian sex world",acbk,306.7663
597673,"Sex instructions for lesbians United States",597673,"Susie Sexperts lesbian sex world",acbk,306.7663
597704,"Lesbianism Humor",NULL,NULL,NULL,NULL
598631,"Lesbians Fiction",598631,"book of Promethea Le livre de Promethea",acbk,843.914
604923,"Lesbianism United States History 20th century",604923,"Odd girls and twilight lovers a history of lesbian life in twentieth century America",acbk,306.7663
604923,"Lesbians United States History 20th century",604923,"Odd girls and twilight lovers a history of lesbian life in twentieth century America",acbk,306.7663
611031,"Gay men Fiction",611031,"Faber book of gay short fiction",acbk,
611031,"Gays writings American",611031,"Faber book of gay short fiction",acbk,
611031,"Gays writings English",611031,"Faber book of gay short fiction",acbk,
612613,"Gay men Fiction",612613,"Spontaneous combustion",acbk,
612867,"Lesbians Drama",612867,"Lesbian plays II",acbk,822.91408
612867,"Lesbians writings English",612867,"Lesbian plays II",acbk,822.91408
613273,"Homosexuality in literature",613273,"Gay and lesbian themes in Latin American writing",acbk,860.9353
613568,"Lesbianism Literary collections",NULL,NULL,NULL,NULL
613568,"Lesbians Canada Diaries",NULL,NULL,NULL,NULL
613568,"Lesbians United States Diaries",NULL,NULL,NULL,NULL
613568,"Lesbians writings American",NULL,NULL,NULL,NULL
615836,"Gay men Fiction",615836,"Indivisible new short fiction",acbk,
