distinct_bib,title,deweyClass,itemtype,bibNumber,subject
1875758,"How to survive your own gay life an adult guide to love sex and relationships",306.7662,acbk,1875758,"Male homosexuality Social aspects"
1875976,"In the pink the making of successful gay and lesbian owned businesses",658.02,acbk,1875976,Entrepreneurship
1875976,"In the pink the making of successful gay and lesbian owned businesses",658.02,acbk,1875976,"Gay business enterprises Management"
1875976,"In the pink the making of successful gay and lesbian owned businesses",658.02,acbk,1875976,"Lesbian business enterprises Management"
1875976,"In the pink the making of successful gay and lesbian owned businesses",658.02,acbk,1875976,"New business enterprises Management"
1877323,"Victory deferred how AIDS changed gay life in America",362.19697,acbk,1877323,"AIDS Disease Social aspects United States"
1877323,"Victory deferred how AIDS changed gay life in America",362.19697,acbk,1877323,"AIDS Disease United States History"
1877323,"Victory deferred how AIDS changed gay life in America",362.19697,acbk,1877323,"Gay liberation movement United States"
1877323,"Victory deferred how AIDS changed gay life in America",362.19697,acbk,1877323,"Gay men United States Diseases"
1877371,"Reclaiming your life the gay mans guide to love self acceptance and trust",305.38966,acbk,1877371,"Adult children of dysfunctional families United States"
1877371,"Reclaiming your life the gay mans guide to love self acceptance and trust",305.38966,acbk,1877371,"Gay men United States Psychology"
1877371,"Reclaiming your life the gay mans guide to love self acceptance and trust",305.38966,acbk,1877371,"Male sexual abuse victims United States Psychology"
1877578,"Out for good the struggle to build a gay rights movement in America",305.90664,acbk,1877578,"Gay liberation movement United States History"
1877578,"Out for good the struggle to build a gay rights movement in America",305.90664,acbk,1877578,"Gay rights United States History"
1877578,"Out for good the struggle to build a gay rights movement in America",305.90664,acbk,1877578,"United States Politics and government"
1877578,"Out for good the struggle to build a gay rights movement in America",305.90664,acbk,1877578,"United States Social conditions"
1877580,"Something inside conversations with gay fiction writers",813.54099,acbk,1877580,"American fiction 20th century History and criticism Theory etc"
1877580,"Something inside conversations with gay fiction writers",813.54099,acbk,1877580,"Fiction Authorship"
1877580,"Something inside conversations with gay fiction writers",813.54099,acbk,1877580,"Gay men in literature"
1877580,"Something inside conversations with gay fiction writers",813.54099,acbk,1877580,"Gay men United States Interviews"
1877580,"Something inside conversations with gay fiction writers",813.54099,acbk,1877580,"Gay mens writings American History and criticism Theory etc"
1877580,"Something inside conversations with gay fiction writers",813.54099,acbk,1877580,"Homosexuality and literature United States History 20th century"
1877580,"Something inside conversations with gay fiction writers",813.54099,acbk,1877580,"Novelists American 20th century Interviews"
